Date,equity,cash,positions,buy_hold
2018-01-30,100000.0,100000.0,0,183328.49606644613
2018-01-31,100000.0,100000.0,0,186837.81937690167
2018-02-01,100000.0,100000.0,0,183648.51117750816
2018-02-02,100000.0,100000.0,0,179498.70336886955
2018-02-05,100000.0,100000.0,0,170871.03609998786
2018-02-06,100000.0,100000.0,0,180366.91418248162
2018-02-07,100000.0,100000.0,0,179955.3531133608
2018-02-08,99995.02,90035.02,1,171121.3166812702
2018-02-09,100097.11,90035.02,1,177244.3898797647
2018-02-12,100540.33,90035.02,1,181312.67322210933
2018-02-13,100649.89,90035.02,1,184261.0162653849
2018-02-14,100854.07,90035.02,1,189197.90060431673
2018-02-15,100861.1,100861.1,0,191986.4343462925
2018-02-16,100861.1,100861.1,0,181425.80162228656
2018-02-20,100861.1,100861.1,0,183479.25331782
2018-02-21,100861.1,100861.1,0,178887.1033961316
2018-02-22,100861.1,100861.1,0,179766.03854811957
2018-02-23,100861.1,100861.1,0,184045.42367231974
2018-02-26,100861.1,100861.1,0,188223.58965214944
2018-02-27,100861.1,100861.1,0,188104.19181455448
2018-02-28,100861.1,100861.1,0,188726.1698999594
2018-03-01,100861.1,100861.1,0,183758.38305880857
2018-03-02,100861.1,100861.1,0,188266.72738004517
2018-03-05,100861.1,100861.1,0,192585.02077211224
2018-03-06,100861.1,100861.1,0,197240.13930324724
2018-03-07,100861.1,100861.1,0,197905.58739275803
2018-03-08,100861.1,100861.1,0,199149.0760995703
2018-03-09,100861.1,100861.1,0,200630.97890696756
2018-03-12,100861.1,100861.1,0,207593.6125366388
2018-03-13,100861.1,100861.1,0,205582.2034090872
2018-03-14,100861.1,100861.1,0,207741.74487284338
2018-03-15,100861.1,100861.1,0,207156.79755069732
2018-03-16,100861.1,100861.1,0,207521.45616710573
2018-03-19,100861.1,100861.1,0,201085.08770088103
2018-03-20,100861.1,100861.1,0,205347.09498964986
2018-03-21,100861.1,100861.1,0,204775.93334516487
2018-03-22,100861.1,100861.1,0,198998.51219744948
2018-03-23,100856.09,90827.24,1,190151.39201243204
2018-03-26,101105.84,90827.24,1,196455.80418775044
2018-03-27,100521.24,90827.24,1,185322.97828793188
2018-03-28,100352.89,90827.24,1,181110.29917413025
2018-03-29,100473.14,90827.24,1,186284.72786442877
2018-04-02,100088.34,90827.24,1,180370.11446840665
2018-04-03,100363.99,90827.24,1,183934.73338549634
2018-04-04,100704.39,90827.24,1,187079.12476042585
2018-04-05,100047.64,90827.24,1,182916.72832039045
2018-04-06,99792.34,90827.24,1,178266.6346631921
2018-04-09,99699.84,90827.24,1,178947.84033465333
2018-04-10,100166.04,90827.24,1,186208.46876900695
2018-04-11,100166.04,90827.24,1,185668.93363623822
2018-04-12,100556.39,90827.24,1,190149.51785167566
2018-04-13,100484.24,90827.24,1,184737.94819576415
2018-04-16,100382.49,90827.24,1,183650.07227217246
2018-04-17,100495.34,90827.24,1,188630.86969149896
2018-04-18,100819.09,90827.24,1,189988.03758327483
2018-04-19,100339.94,90827.24,1,183859.53812045802
2018-04-20,100191.94,90827.24,1,183073.0107009986
2018-04-23,99895.94,90827.24,1,178913.00897550664
2018-04-24,99542.59,90827.24,1,175706.95272212528
2018-04-25,99633.24,90827.24,1,175092.1150072605
2018-04-26,100103.14,90827.24,1,180738.6069608045
2018-04-27,99618.44,90827.24,1,179251.89592203268
2018-04-30,99333.54,90827.24,1,177646.7318800683
2018-05-01,99483.39,90827.24,1,179351.4723268285
2018-05-02,99316.89,90827.24,1,177675.3409226801
2018-05-03,99451.94,90827.24,1,180212.89582997398
2018-05-04,99629.54,90827.24,1,179111.65027529848
2018-05-07,99796.04,90827.24,1,183833.5537779035
2018-05-08,99812.69,90827.24,1,186098.07333065703
2018-05-09,100264.09,90827.24,1,189698.1658842197
2018-05-10,100569.34,90827.24,1,193097.78473514662
2018-05-11,100413.94,90827.24,1,190931.88247099033
2018-05-14,100632.24,90827.24,1,191240.61096835116
2018-05-15,100819.09,90827.24,1,188705.3921786612
2018-05-16,101279.74,90827.24,1,191239.48835896226
2018-05-17,100946.74,90827.24,1,189169.37469359493
2018-05-18,100704.39,90827.24,1,187113.8296241119
2018-05-21,101091.04,90827.24,1,190514.06158963713
2018-05-22,101747.79,90827.24,1,192756.0277955378
2018-05-23,101921.69,90827.24,1,196048.12201380535
2018-05-24,102197.2,102197.2,0,196995.35512475035
2018-05-25,102197.2,102197.2,0,198308.9527651185
2018-05-29,102197.2,102197.2,0,198841.0497298683
2018-05-30,102197.2,102197.2,0,199115.45521543166
2018-05-31,102197.2,102197.2,0,194545.9609804819
2018-06-01,102197.2,102197.2,0,199163.4265147601
2018-06-04,102197.2,102197.2,0,202918.03764541913
2018-06-05,102192.12,92033.01,1,204292.00596661842
2018-06-06,102193.83,92033.01,1,205285.10478178386
2018-06-07,102229.74,92033.01,1,203737.68644561
2018-06-08,102530.7,92033.01,1,204980.70211443145
2018-06-11,102530.7,92033.01,1,204384.13532129233
2018-06-12,102387.06,92033.01,1,204804.92377264728
2018-06-13,102301.56,92033.01,1,205536.84446128088
2018-06-14,102152.79,92033.01,1,205922.3380405928
2018-06-15,101990.34,92033.01,1,205796.14168625494
2018-06-18,102027.96,92033.01,1,204000.00221197982
2018-06-19,102164.76,92033.01,1,202081.34161269356
2018-06-20,102113.46,92033.01,1,204432.32179798745
2018-06-21,102197.25,92033.01,1,202468.6208247688
2018-06-22,101797.11,92033.01,1,197872.93904650785
2018-06-25,101123.37,92033.01,1,187841.22167332793
2018-06-26,101367.9,92033.01,1,190216.1018867393
2018-06-27,100969.47,92033.01,1,184345.57098524805
2018-06-28,101119.95,92033.01,1,187095.1854402944
2018-06-29,101000.25,92033.01,1,185483.4198052692
2018-07-02,101349.09,92033.01,1,189278.65354698242
2018-07-03,100836.09,92033.01,1,183924.8491690241
2018-07-05,101068.65,92033.01,1,187500.31860265165
2018-07-06,101135.34,92033.01,1,190207.7003007484
2018-07-09,101320.02,92033.01,1,193341.25012592017
2018-07-10,101564.55,92033.01,1,195572.5044896953
2018-07-11,101297.79,92033.01,1,191920.35074232946
2018-07-12,101516.67,92033.01,1,193130.73616092658
2018-07-13,101668.86,92033.01,1,191049.85991358108
2018-07-16,101634.66,92033.01,1,191444.81702565728
2018-07-17,101773.17,92033.01,1,194522.55044670677
2018-07-18,101856.96,92033.01,1,194876.95162145537
2018-07-19,101646.63,92033.01,1,194820.73096728223
2018-07-20,101441.43,92033.01,1,192508.7675269268
2018-07-23,101316.6,92033.01,1,191898.83077092672
2018-07-24,101125.08,92033.01,1,190196.45125986348
2018-07-25,101162.7,92033.01,1,193453.5389617029
2018-07-26,101225.97,92033.01,1,194585.08790422656
